Date,site_temp_min,site_temp_max,site_temp_WMO,site_temp_USGS,Barom,RelHum,WindGustSpeed,WindSpeed,VecAvgWindDir
12/15/12,-11.2,-6.9,-9,-8,6,95.6,nan,5.7,181
12/16/12,-13.4,-10.5,-11.9,-11.5,6,93.2,nan,4.4,nan
12/17/12,-16.5,-13.4,-14.9,-15.2,6,83.9,nan,8.5,nan
12/18/12,-15.7,-13.7,-14.7,-14.5,6,78.7,nan,5.1,nan
12/19/12,-16.9,-14.2,-15.5,-15.9,5.9,75.8,nan,20.8,nan
12/20/12,-21.6,-16.3,-18.9,-19.1,5.9,73.1,nan,21.3,nan
12/21/12,-21.8,-19.1,-20.4,-20.7,5.9,73.5,nan,21,nan
12/22/12,-20.1,-14.6,-17.3,-17.4,5.9,70.7,nan,12.8,nan
12/23/12,-17.7,-13.1,-15.4,-15.2,5.9,76.9,nan,5.7,78
12/24/12,-13,-9.7,-11.3,-11.7,6,73.3,nan,5.8,nan
12/25/12,-11,-7.9,-9.5,-9.9,6,35,nan,4.3,nan
12/26/12,-8.8,-5.6,-7.2,-7.3,5.9,66.4,nan,1.1,nan
12/27/12,-12,-6.6,-9.3,-8.6,6,87,nan,6,nan
12/28/12,-7.8,-6.7,-7.2,-7,6,91.6,nan,2.8,nan
12/29/12,-7.3,-4.4,-5.9,-6.1,6.1,96.9,nan,0.8,nan
12/30/12,-4.6,-3.4,-4,-4,6.1,88.3,nan,8.5,nan
12/31/12,-8,-4.1,-6.1,-6.2,6.1,94.8,nan,2.9,nan
1/1/13,-7.9,-3.7,-5.8,-6.1,6,78.1,nan,8,152
1/2/13,-10,-6,-8,-7.8,6,90.5,nan,2.3,202
1/3/13,-11.8,-5.4,-8.6,-8.3,6,69.5,nan,5.3,nan
1/4/13,-9,-5,-7,-7.5,6,88.8,nan,3.9,164
1/5/13,-7.3,-3.9,-5.6,-5.1,6.1,84.3,nan,5.8,nan
1/6/13,-9,-7.3,-8.1,-8.1,6.1,94.4,nan,2.8,209
1/7/13,-9.1,-7.3,-8.2,-8.3,6.1,94.3,nan,3.4,nan
1/8/13,-11.9,-9.1,-10.5,-10.2,6,94,nan,0.5,148
1/9/13,-12.1,-9.2,-10.6,-11.1,6,67.7,nan,2.1,65
1/10/13,-13.8,-9.9,-11.9,-11.3,6,87.2,nan,1.6,281
1/11/13,-11.3,-7.8,-9.6,-9.5,6,94.5,nan,0.4,272
1/12/13,-7.7,-6.6,-7.2,-7.1,6.1,96.3,nan,nan,nan
1/13/13,-6.9,-2.2,-4.5,-4.8,6.1,97.9,nan,nan,nan
1/14/13,-3.9,-0.7,-2.3,-2.3,6.1,99.3,nan,nan,nan
1/15/13,-6.5,-3.9,-5.2,-5.6,6.1,97.5,nan,nan,nan
1/16/13,-8.2,-5.6,-6.9,-7.2,6.1,96.5,nan,nan,nan
1/17/13,-10.2,-4.8,-7.5,-6.2,6.1,97.1,nan,nan,nan
1/18/13,-11.5,-10.2,-10.9,-11,6,93.9,nan,nan,nan
1/19/13,-12.1,-7.4,-9.7,-10.4,6,93.6,nan,nan,nan
1/20/13,-7.3,-3.5,-5.4,-4.7,6.1,94.5,nan,nan,nan
1/21/13,-5.2,-2.3,-3.8,-4,6.1,95.4,nan,nan,nan
1/22/13,-4.2,0.2,-2,-1.5,6.1,61.8,nan,nan,nan
1/23/13,-7,-4.2,-5.6,-5.9,6.1,87.9,nan,5.3,nan
1/24/13,-7.9,-5.7,-6.8,-6.9,6.1,93.1,nan,4.1,nan
1/25/13,-6.7,-5.5,-6.1,-6.2,6.1,89.4,nan,5.9,nan
1/26/13,-12.4,-6.3,-9.4,-8.4,6.1,95.4,nan,3.9,nan
1/27/13,-15,-12.4,-13.7,-13.4,6,91.7,nan,1.4,244
1/28/13,-27.2,-15.1,-21.1,-22.9,6,83.8,nan,4,54
1/29/13,-18.6,-6.7,-12.6,-12.1,6,92.9,nan,4.9,150
1/30/13,-6.9,-4.1,-5.5,-5.5,6.1,97.6,nan,nan,nan
1/31/13,-5.7,-3.4,-4.5,-4.7,6.2,98,nan,nan,nan
2/1/13,-5.5,-3.2,-4.4,-4.4,6.2,98.1,nan,nan,nan
2/2/13,-5.2,-3.5,-4.4,-4.3,6.1,95.3,nan,nan,nan
2/3/13,-8.7,-5,-6.8,-6.5,6.1,91.9,nan,5.8,nan
2/4/13,-11.7,-8.5,-10.1,-9.6,6,92,nan,nan,nan
2/5/13,-10.3,-7.5,-8.9,-8.9,6,78.3,nan,11.7,nan
2/6/13,-7.9,-6,-6.9,-6.7,6.1,95.6,nan,2.7,198
2/7/13,-10.2,-7,-8.6,-8.5,6.1,95.5,nan,2,nan
2/8/13,-8.2,-5.3,-6.8,-6.6,6.1,96.8,nan,4,nan
2/9/13,-7.5,-3.2,-5.4,-5.5,6.1,97.1,nan,nan,nan
2/10/13,-8.4,-3.7,-6,-6.1,6.1,96.5,nan,4.9,nan
2/11/13,-9.8,-7.2,-8.5,-8.2,6.1,95.7,nan,3.1,nan
2/12/13,-14.2,-7.6,-10.9,-11.1,6,93.6,nan,nan,nan
2/13/13,-14,-7.8,-10.9,-10.4,6,94.2,nan,nan,nan
2/14/13,-8.9,-4.1,-6.5,-6.1,6.1,96.3,nan,6.8,nan
